頻道,日期,影片ID,標題,影片長度,觀看人數,網址
ctitv,20190328,Mpy61jfyHVo,離職員工討不到薪水　連2週「砸車丟雞蛋」,90,774,https://youtu.be/Mpy61jfyHVo
ctitv,20190328,JJVUqA9Lq94,拉麵店遭恐嚇討債？　黑衣人深夜聚集　警：一場虛驚,66,514,https://youtu.be/JJVUqA9Lq94
ctitv,20190328,swUGd9qqtJw,急診暴力！　房客割傷房東　追到醫院繼續打,101,1090,https://youtu.be/swUGd9qqtJw
ctitv,20190328,fT22m08H0JM,痛批NCC開罰百萬不公　韓粉挺中天高喊「加油」,97,53959,https://youtu.be/fT22m08H0JM
ctitv,20190328,_9tZ39Bf9Xw,春遊最便宜！　北市補助加碼住房優惠再500,89,571,https://youtu.be/_9tZ39Bf9Xw
ctitv,20190328,Sq-r3jvxeCo,遊泰買乳膠枕？陸媒踢爆實為「大陸製造」,90,1953,https://youtu.be/Sq-r3jvxeCo
ctitv,20190328,NfrGl7fM_aE,聊天變鬥毆！　2男大打出手　警祭辣椒水壓制,69,1023,https://youtu.be/NfrGl7fM_aE
ctitv,20190328,jPGHjwSZSKM,NCC罰中天法源依據呢？　學者批：先射箭再畫靶,108,20137,https://youtu.be/jPGHjwSZSKM
ctitv,20190328,0gZLOOkfmyA,全台首例！　雲林縣警局長因督導不周記2小過,64,5888,https://youtu.be/0gZLOOkfmyA
ctitv,20190328,PHJ-I1VIcXA,蘇貞昌開罵10天後...　NCC開罰中天100萬,117,12434,https://youtu.be/PHJ-I1VIcXA
ctitv,20190328,6iX2MFyJYjo,扯！酒測值達0.75　醉男連撞18車翻覆,82,697,https://youtu.be/6iX2MFyJYjo
ctitv,20190328,ZbKZFTKWuXw,松山車站亮刀驚魂　失業男「買刀」過程獨家曝光,97,580,https://youtu.be/ZbKZFTKWuXw
ctitv,20190328,OoVejyfqpMc,韓國瑜回國機場「如臨大敵」　紅龍柱偵蒐犬出動,86,81990,https://youtu.be/OoVejyfqpMc
ctitv,20190328,X6FEHk0sMpw,韓國瑜回台　上千位韓粉擠爆機場等接機,106,114195,https://youtu.be/X6FEHk0sMpw
ctitv,20190328,3t3ZOByqNfQ,韓流滿載而歸！　結束經濟之旅歡喜返台,73,35378,https://youtu.be/3t3ZOByqNfQ
ctitv,20190328,LE3fLlmYQ0g,載竹子貨車緊急剎車　前方車輛遭「萬竹穿車」,65,741,https://youtu.be/LE3fLlmYQ0g
ctitv,20190328,wO-sDCiztNg,無懼酒駕新制！　醉男失控連撞18汽機車翻覆,67,541,https://youtu.be/wO-sDCiztNg
ctitv,20190328,UPG1xn5BhPY,印男揮拳日本嫩男　超商店員攔車報警怒嗆「這是台灣」,106,771,https://youtu.be/UPG1xn5BhPY
ctitv,20190328,cI0CFFWBvqA,25歲女模遭男撞斷腿　淚訴對方不願賠償,95,299,https://youtu.be/cI0CFFWBvqA
ctitv,20190328,TGc43BRKcIE,諷刺！蔡夏威夷談民主　卻放任NCC開罰媒體,87,5267,https://youtu.be/TGc43BRKcIE
ctitv,20190328,bO0x2lT1MAM,談判十多惡煞持鐵棍突襲　2人遭打趴吐血,69,781,https://youtu.be/bO0x2lT1MAM
ctitv,20190328,LbUQvLw31kY,韓流吹進「蕭李會」　蕭萬長也替台農產品「爭鮮」,115,15838,https://youtu.be/LbUQvLw31kY
